"","","Geographic methods, GIS, spatial statistics","Human geography","Nature and society","Other (specify)","Physical geography, earth and environmental sciences"
"",0,0,1.4,0.47,0,0
"Funding agency",0,0.47,0.47,0,0,0
"Journal editor(s)",0,0.47,0,0,0,0
"Journal editor(s),Funding agency",0,0.47,0,0,0,0
"Other (specify)",0,1.4,0.93,0.47,1.4,0.47
"Peer-reviewer(s)",0,0.93,0.93,0,0,1.4
"Peer-reviewer(s),Funding agency",0,0.47,0,0,0,0
"Principal investigator of the study",0.93,10.75,10.28,3.27,4.67,14.02
"Principal investigator of the study,Funding agency",0,1.4,1.4,0.47,0.93,1.87
"Principal investigator of the study,Funding agency,Other (specify)",0,0,0.47,0,0,0.47
"Principal investigator of the study,Journal editor(s)",0,0,0.47,0,0.47,1.4
"Principal investigator of the study,Journal editor(s),Funding agency",0,0.93,0.93,0,0.47,0.93
"Principal investigator of the study,Journal editor(s),Funding agency,Other (specify)",0,0,0.47,0.47,0,0
"Principal investigator of the study,Other (specify)",0,0,0,0,0.47,0.47
"Principal investigator of the study,Peer-reviewer(s)",0,3.27,1.87,0.93,0.93,2.8
"Principal investigator of the study,Peer-reviewer(s),Funding agency",0,0.93,0.93,0.47,0.47,0
"Principal investigator of the study,Peer-reviewer(s),Journal editor(s)",0,1.4,1.87,0.47,0.93,3.27
"Principal investigator of the study,Peer-reviewer(s),Journal editor(s),Funding agency",0,1.87,1.4,1.4,1.4,0.93
"Principal investigator of the study,Peer-reviewer(s),Journal editor(s),Funding agency,Other (specify)",0,0.47,0,0,0,0
"Principal investigator of the study,Peer-reviewer(s),Journal editor(s),Other (specify)",0,0,0,0,0.47,0
"Principal investigator of the study,Peer-reviewer(s),Other (specify)",0,0,0,0,0,0.93
