"","","Mixed Methods","Qualitative","Quantitative"
"",0,6.02,10.53,1.09
"Argentina",0,0,2.63,0
"Australia",0,4.82,5.26,4.35
"Austria",0,2.41,2.63,0
"Belgium",0,0,0,1.09
"Brazil",0,2.41,0,1.09
"Cambodia",0,1.2,0,0
"Canada",0,6.02,5.26,5.43
"Chile",0,3.61,0,0
"China",0,10.84,0,9.78
"Cyprus",0,0,0,1.09
"Czech Republic",0,1.2,0,2.17
"Denmark",0,1.2,0,2.17
"Ethiopia",0,0,0,1.09
"Finland",0,0,2.63,3.26
"France",0,1.2,2.63,1.09
"Germany",0,4.82,0,3.26
"Greece",0,2.41,0,0
"Hong Kong (S.A.R.)",0,0,5.26,0
"India",0,2.41,2.63,2.17
"Israel",0,1.2,2.63,1.09
"Italy",0,2.41,0,4.35
"Lebanon",0,1.2,0,0
"Mexico",0,3.61,2.63,1.09
"Netherlands",0,2.41,5.26,2.17
"New Zealand",0,0,2.63,2.17
"Norway",0,0,2.63,1.09
"Poland",0,2.41,0,2.17
"Portugal",0,1.2,0,3.26
"Romania",0,1.2,0,0
"Russian Federation",0,1.2,0,0
"Slovakia",0,1.2,0,0
"South Africa",0,0,2.63,2.17
"Spain",0,0,0,4.35
"Sweden",0,2.41,2.63,2.17
"Switzerland",0,2.41,0,1.09
"Thailand",0,1.2,0,1.09
"Turkey",0,1.2,2.63,0
"United Kingdom of Great Britain and Northern Ireland",0,4.82,13.16,8.7
"United States of America",100,18.07,23.68,23.91
"Zimbabwe",0,1.2,0,0
